start,end,qps_usage_corr,step,label,p-value,p-value-thres,distance,distance-thres
2022-09-21 00:04:00,2022-09-22 23:58:00,0.9938416217759504,0,0.0,1.0,0.05,6.640628961522802e-06,0.004391024086003345
2022-09-20 16:04:00,2022-09-22 15:59:00,0.9932829701955006,96,0.0,0.7599999904632568,0.05,0.0008589218719363355,0.004918362870921702
2022-09-20 08:04:00,2022-09-22 07:59:00,0.9933684131642253,192,0.0,0.4099999964237213,0.05,0.0015350914092610987,0.0038942538566579736
2022-09-20 00:04:00,2022-09-21 23:58:00,0.9937506596466386,288,0.0,0.36000001430511475,0.05,0.0018194184836970455,0.003637421016136571
2022-09-19 16:04:00,2022-09-21 15:59:00,0.9939175573545063,384,0.0,0.7599999904632568,0.05,0.000886258281694817,0.003969135137418553
2022-09-19 08:04:00,2022-09-21 07:59:00,0.9941450369193882,480,0.0,0.12999999523162842,0.05,0.0029421534327136734,0.003393293076546564
2022-09-19 00:04:00,2022-09-20 23:58:00,0.9941819630539617,576,0.0,0.10000000149011612,0.05,0.0031000421398620437,0.004097214870820364
2022-09-18 16:04:00,2022-09-20 15:59:00,0.9939567139354472,672,1.0,0.03999999910593033,0.05,0.0035069251219231688,0.0032842301828531996
2022-09-18 08:04:00,2022-09-20 07:59:00,0.9941846022586406,768,1.0,0.009999999776482582,0.05,0.005668501280744226,0.003997067097263959
2022-09-18 00:04:00,2022-09-19 23:58:00,0.9946465846181959,864,1.0,0.0,0.05,0.005900936076817294,0.0032621276092321544
2022-09-17 16:04:00,2022-09-19 15:59:00,0.9933387951083639,960,,,,,
2022-09-17 08:04:00,2022-09-19 07:59:00,0.9947941924883497,1056,,,,,
2022-09-17 00:04:00,2022-09-18 23:58:00,0.9952032437526971,1152,,,,,
2022-09-16 16:04:00,2022-09-18 15:59:00,0.995138285797766,1248,,,,,
2022-09-16 08:04:00,2022-09-18 07:59:00,0.9959806124513111,1344,,,,,
2022-09-16 00:04:00,2022-09-17 23:58:00,0.9958902351383909,1440,,,,,
2022-09-15 16:04:00,2022-09-17 15:59:00,0.9959984314742184,1536,,,,,
2022-09-15 08:04:00,2022-09-17 07:59:00,0.995468516506017,1632,,,,,
2022-09-15 00:04:00,2022-09-16 23:58:00,0.9957744978287494,1728,,,,,
2022-09-14 16:04:00,2022-09-16 15:59:00,0.9961214846348897,1824,,,,,
2022-09-14 08:04:00,2022-09-16 07:59:00,0.9957123942791614,1920,,,,,
2022-09-14 00:04:00,2022-09-15 23:58:00,0.9959385924965023,2016,,,,,
2022-09-13 16:04:00,2022-09-15 15:59:00,0.9944802844702034,2112,,,,,
2022-09-13 08:04:00,2022-09-15 07:59:00,0.99490883684189,2208,,,,,
2022-09-13 00:04:00,2022-09-14 23:58:00,0.9949740389977558,2304,,,,,
2022-09-12 16:04:00,2022-09-14 15:59:00,0.9703832341495848,2400,,,,,
2022-09-12 08:04:00,2022-09-14 07:59:00,0.9580944774324448,2496,,,,,
2022-09-12 00:04:00,2022-09-13 23:58:00,0.9482705951901067,2592,,,,,
2022-09-11 16:04:00,2022-09-13 15:59:00,0.9719934325452533,2688,,,,,
2022-09-11 08:04:00,2022-09-13 07:59:00,0.992037050709998,2784,,,,,
2022-09-11 00:04:00,2022-09-12 23:58:00,0.9938014939197333,2880,,,,,
2022-09-10 16:04:00,2022-09-12 15:59:00,0.9943158593942546,2976,,,,,
2022-09-10 08:04:00,2022-09-12 07:59:00,0.995084700424363,3072,,,,,
2022-09-10 00:04:00,2022-09-11 23:58:00,0.995050783992162,3168,,,,,
2022-09-09 16:04:00,2022-09-11 15:59:00,0.9948686342782029,3264,,,,,
2022-09-09 08:04:00,2022-09-11 07:59:00,0.994781752812878,3360,,,,,
2022-09-09 00:04:00,2022-09-10 23:58:00,0.9945327079987683,3456,,,,,
2022-09-08 16:04:00,2022-09-10 15:59:00,0.9947830898204992,3552,,,,,
2022-09-08 08:04:00,2022-09-10 07:59:00,0.9940815997292248,3648,,,,,
2022-09-08 00:04:00,2022-09-09 23:58:00,0.994213129978445,3744,,,,,
2022-09-07 16:04:00,2022-09-09 15:59:00,0.9945993135003175,3840,,,,,
2022-09-07 08:04:00,2022-09-09 07:59:00,0.9942292810757328,3936,,,,,
2022-09-07 00:04:00,2022-09-08 23:58:00,0.9943659077525836,4032,,,,,
2022-09-06 16:04:00,2022-09-08 15:59:00,0.9940874582937155,4128,,,,,
2022-09-06 08:04:00,2022-09-08 07:59:00,0.9940272618546575,4224,,,,,
2022-09-06 00:04:00,2022-09-07 23:58:00,0.9930662983905144,4320,,,,,
2022-09-05 16:04:00,2022-09-07 15:59:00,0.993513163213384,4416,,,,,
2022-09-05 08:04:00,2022-09-07 07:59:00,0.9931495610264297,4512,,,,,
2022-09-05 00:04:00,2022-09-06 23:58:00,0.9928874604008013,4608,,,,,
2022-09-04 16:04:00,2022-09-06 15:59:00,0.9941176943282627,4704,,,,,
2022-09-04 08:04:00,2022-09-06 07:59:00,0.9940457736665366,4800,,,,,
2022-09-04 00:04:00,2022-09-05 23:58:00,0.9946685138169404,4896,,,,,
2022-09-03 16:04:00,2022-09-05 15:59:00,0.9938689805988015,4992,,,,,
2022-09-03 08:04:00,2022-09-05 07:59:00,0.9947602724392022,5088,,,,,
2022-09-03 00:04:00,2022-09-04 23:58:00,0.9948933719907258,5184,,,,,
2022-09-02 16:04:00,2022-09-04 15:59:00,0.9946790328564525,5280,,,,,
2022-09-02 08:04:00,2022-09-04 07:59:00,0.9953246912802953,5376,,,,,
2022-09-02 00:04:00,2022-09-03 23:58:00,0.9952907797691736,5472,,,,,
