start,end,qps_usage_corr,step,label,p-value,p-value-thres,distance,distance-thres
2022-09-30 00:04:00,2022-10-01 23:58:00,0.9950233031410763,0,0.0,1.0,0.05,4.363519707008346e-05,0.003227080615736292
2022-09-29 16:04:00,2022-10-01 15:59:00,0.9952680021382303,96,0.0,0.8999999761581421,0.05,0.0004233440103011195,0.004285087781298818
2022-09-29 08:04:00,2022-10-01 07:59:00,0.9951983161164908,192,0.0,0.5299999713897705,0.05,0.0010337578813449113,0.005406784286887864
2022-09-29 00:04:00,2022-09-30 23:58:00,0.9949460177641943,288,0.0,0.5199999809265137,0.05,0.0011094169666807045,0.0034118319789866003
2022-09-28 16:04:00,2022-09-30 15:59:00,0.9954477199037954,384,0.0,0.15000000596046448,0.05,0.002100436560966885,0.004321509249795601
2022-09-28 08:04:00,2022-09-30 07:59:00,0.9950458884537767,480,1.0,0.0,0.05,0.007828438184567845,0.004123569812834824
2022-09-28 00:04:00,2022-09-29 23:58:00,0.9951312527336439,576,1.0,0.0,0.05,0.007888824287569016,0.004447313240214197
2022-09-27 16:04:00,2022-09-29 15:59:00,0.9950912303196423,672,1.0,0.0,0.05,0.011111887488792615,0.0044661836365489024
2022-09-27 08:04:00,2022-09-29 07:59:00,0.9946680954886036,768,,,,,
2022-09-27 00:04:00,2022-09-28 23:58:00,0.9948589724529313,864,,,,,
2022-09-26 16:04:00,2022-09-28 15:59:00,0.9948191799325753,960,,,,,
2022-09-26 08:04:00,2022-09-28 07:59:00,0.994402821365286,1056,,,,,
2022-09-26 00:04:00,2022-09-27 23:58:00,0.994107443028047,1152,,,,,
2022-09-25 14:49:00,2022-09-27 15:59:00,0.994817113517569,1248,,,,,
2022-09-25 06:49:00,2022-09-27 07:59:00,0.9947700656901806,1344,,,,,
2022-09-24 22:49:00,2022-09-26 23:58:00,0.9949421855407635,1440,,,,,
2022-09-24 14:49:00,2022-09-26 15:59:00,0.9930667128158509,1536,,,,,
2022-09-24 06:49:00,2022-09-26 07:59:00,0.9937236285179922,1632,,,,,
2022-09-23 22:49:00,2022-09-25 23:58:00,0.9942429085027799,1728,,,,,
2022-09-23 14:49:00,2022-09-25 14:44:00,0.994121640317679,1824,,,,,
2022-09-23 06:49:00,2022-09-25 06:44:00,0.9945660425378178,1920,,,,,
2022-09-22 22:49:00,2022-09-24 22:44:00,0.9931625383849223,2016,,,,,
2022-09-22 14:49:00,2022-09-24 14:44:00,0.9934532627598035,2112,,,,,
2022-09-22 06:49:00,2022-09-24 06:44:00,0.993077932785459,2208,,,,,
2022-09-21 22:49:00,2022-09-23 22:44:00,0.9928982149703238,2304,,,,,
2022-09-21 14:49:00,2022-09-23 14:44:00,0.9928578028938552,2400,,,,,
2022-09-21 06:49:00,2022-09-23 06:44:00,0.9924520927094266,2496,,,,,
2022-09-20 22:49:00,2022-09-22 22:44:00,0.9937044165219596,2592,,,,,
2022-09-20 14:49:00,2022-09-22 14:44:00,0.9933080241626593,2688,,,,,
2022-09-20 06:49:00,2022-09-22 06:44:00,0.9933693795542988,2784,,,,,
2022-09-19 22:49:00,2022-09-21 22:44:00,0.9937057592309875,2880,,,,,
2022-09-19 14:49:00,2022-09-21 14:44:00,0.9939525679658155,2976,,,,,
2022-09-19 06:49:00,2022-09-21 06:44:00,0.9941366155759435,3072,,,,,
2022-09-18 22:49:00,2022-09-20 22:44:00,0.9941571524517006,3168,,,,,
2022-09-18 14:49:00,2022-09-20 14:44:00,0.9940387754230484,3264,,,,,
2022-09-18 06:49:00,2022-09-20 06:44:00,0.994198969365315,3360,,,,,
2022-09-17 22:49:00,2022-09-19 22:44:00,0.9943610455903705,3456,,,,,
2022-09-17 14:49:00,2022-09-19 14:44:00,0.9936024526424296,3552,,,,,
2022-09-17 06:49:00,2022-09-19 06:44:00,0.9948566531997994,3648,,,,,
2022-09-16 22:49:00,2022-09-18 22:44:00,0.995154492302098,3744,,,,,
2022-09-16 14:49:00,2022-09-18 14:44:00,0.9953431633080204,3840,,,,,
2022-09-16 06:49:00,2022-09-18 06:44:00,0.9959965890593527,3936,,,,,
2022-09-15 22:49:00,2022-09-17 22:44:00,0.9959070258678264,4032,,,,,
2022-09-15 14:49:00,2022-09-17 14:44:00,0.995864514090243,4128,,,,,
2022-09-15 06:49:00,2022-09-17 06:44:00,0.9954775745801293,4224,,,,,
2022-09-14 22:49:00,2022-09-16 22:44:00,0.9958598916676459,4320,,,,,
2022-09-14 14:49:00,2022-09-16 14:44:00,0.996059139998367,4416,,,,,
2022-09-14 06:49:00,2022-09-16 06:44:00,0.9957282712349732,4512,,,,,
2022-09-13 22:49:00,2022-09-15 22:44:00,0.9958595843470901,4608,,,,,
2022-09-13 14:49:00,2022-09-15 14:44:00,0.9946159395307282,4704,,,,,
2022-09-13 06:49:00,2022-09-15 06:44:00,0.9949464379878636,4800,,,,,
2022-09-12 22:49:00,2022-09-14 22:44:00,0.9934198086320702,4896,,,,,
2022-09-12 14:49:00,2022-09-14 14:44:00,0.9669614395733807,4992,,,,,
2022-09-12 06:49:00,2022-09-14 06:44:00,0.9564562244437658,5088,,,,,
2022-09-11 22:49:00,2022-09-13 22:44:00,0.9486720282000041,5184,,,,,
2022-09-11 14:49:00,2022-09-13 14:44:00,0.9743548293196389,5280,,,,,
2022-09-11 06:49:00,2022-09-13 06:44:00,0.9937416501086048,5376,,,,,
2022-09-11 00:04:00,2022-09-12 22:44:00,0.9945582309989536,5472,,,,,
