start,end,qps_usage_corr,step,label,p-value,p-value-thres,distance,distance-thres
2022-10-16 00:04:00,2022-10-17 23:58:00,0.9944737836261468,0,0.0,1.0,0.05,4.471699149039227e-05,0.003246404774844526
2022-10-15 16:04:00,2022-10-17 15:59:00,0.9945669489495323,96,0.0,0.8399999737739563,0.05,0.00043118364565058955,0.003716623720221135
2022-10-15 08:04:00,2022-10-17 07:59:00,0.9944499230967446,192,0.0,0.7900000214576721,0.05,0.0005061046302239584,0.003513074686749868
2022-10-15 00:04:00,2022-10-16 23:58:00,0.9934613590896466,288,0.0,0.7400000095367432,0.05,0.0005397544474991112,0.0036300797733912985
2022-10-14 16:04:00,2022-10-16 15:59:00,0.9928665057010435,384,0.0,0.949999988079071,0.05,0.000275431590515336,0.003506146319292065
2022-10-14 08:04:00,2022-10-16 07:59:00,0.9930559067444871,480,0.0,0.23000000417232513,0.05,0.002405050350150896,0.003821309418471679
2022-10-14 00:04:00,2022-10-15 23:58:00,0.9933573513008807,576,0.0,0.1899999976158142,0.05,0.002568634303423023,0.0033408484775053443
