start,end,qps_usage_corr,step,label,p-value,p-value-thres,distance,distance-thres
2022-08-13 00:04:00,2022-08-14 23:58:00,0.99365118435127,0,0.0,1.0,0.05,3.123344049047934e-05,0.0037881579083454578
2022-08-12 16:04:00,2022-08-14 15:59:00,0.993850775015977,96,0.0,0.8799999952316284,0.05,0.0003804470760066029,0.0040683641683534125
2022-08-12 08:04:00,2022-08-14 07:59:00,0.9938282222446473,192,0.0,0.9599999785423279,0.05,0.00022140966225338987,0.004033684945607004
2022-08-12 00:04:00,2022-08-13 23:58:00,0.9937572223554639,288,0.0,0.9900000095367432,0.05,0.00015660337642710908,0.0034324128530279696
2022-08-11 16:04:00,2022-08-13 15:59:00,0.9941630148831084,384,0.0,0.23000000417232513,0.05,0.0019693658408263233,0.0035944635547081913
2022-08-11 08:04:00,2022-08-13 07:59:00,0.9941135037059523,480,0.0,0.30000001192092896,0.05,0.001668037278067157,0.002636922344687923
2022-08-11 00:04:00,2022-08-12 23:58:00,0.9940497542040946,576,0.0,0.25999999046325684,0.05,0.0017017803145590138,0.003613143647453918
2022-08-10 16:04:00,2022-08-12 15:59:00,0.9940548639012906,672,0.0,0.25999999046325684,0.05,0.0016524798231956697,0.003632018459202815
2022-08-10 08:04:00,2022-08-12 07:59:00,0.9938927582007,768,0.0,0.46000000834465027,0.05,0.0013954825986071833,0.002841989261676694
2022-08-10 00:04:00,2022-08-11 23:58:00,0.9940430949324641,864,0.0,0.4000000059604645,0.05,0.001332618403370014,0.003917212038913211
2022-08-09 16:04:00,2022-08-11 15:59:00,0.9849934527848986,960,1.0,0.029999999329447746,0.05,0.003791028425367934,0.003098930392165273
2022-08-09 08:04:00,2022-08-11 07:59:00,0.9850160662415269,1056,1.0,0.009999999776482582,0.05,0.006788146776947029,0.004047749292718151
2022-08-09 00:04:00,2022-08-10 23:58:00,0.9864154727179775,1152,1.0,0.029999999329447746,0.05,0.006718450283100747,0.004531991991142471
2022-08-08 16:04:00,2022-08-10 15:59:00,0.9856176918329979,1248,,,,,
2022-08-08 08:04:00,2022-08-10 07:59:00,0.9897004927324538,1344,,,,,
2022-08-08 00:04:00,2022-08-09 23:58:00,0.9914732623285316,1440,,,,,
2022-08-07 16:04:00,2022-08-09 15:59:00,0.9912904167521058,1536,,,,,
2022-08-07 08:04:00,2022-08-09 07:59:00,0.9916747492725461,1632,,,,,
2022-08-07 00:04:00,2022-08-08 23:58:00,0.9915326741299633,1728,,,,,
2022-08-06 16:04:00,2022-08-08 15:59:00,0.991065454426396,1824,,,,,
2022-08-06 08:04:00,2022-08-08 07:59:00,0.9915261336320933,1920,,,,,
2022-08-06 00:04:00,2022-08-07 23:58:00,0.9917595251010721,2016,,,,,
2022-08-05 16:04:00,2022-08-07 15:59:00,0.9918890573195583,2112,,,,,
2022-08-05 08:04:00,2022-08-07 07:59:00,0.9914748451865781,2208,,,,,
2022-08-05 00:04:00,2022-08-06 23:58:00,0.9919952050404645,2304,,,,,
2022-08-04 16:04:00,2022-08-06 15:59:00,0.9926055631176681,2400,,,,,
2022-08-04 08:04:00,2022-08-06 07:59:00,0.9921132305276837,2496,,,,,
2022-08-04 00:04:00,2022-08-05 23:58:00,0.9922098891438315,2592,,,,,
2022-08-03 16:04:00,2022-08-05 15:59:00,0.9920020498496115,2688,,,,,
2022-08-03 08:04:00,2022-08-05 07:59:00,0.9917956644661693,2784,,,,,
2022-08-03 00:04:00,2022-08-04 23:58:00,0.9913886114167206,2880,,,,,
2022-08-02 16:04:00,2022-08-04 15:59:00,0.9908009365260502,2976,,,,,
2022-08-02 08:04:00,2022-08-04 07:59:00,0.9908985362787622,3072,,,,,
2022-08-02 00:04:00,2022-08-03 23:58:00,0.9909320170886584,3168,,,,,
2022-08-01 16:04:00,2022-08-03 15:59:00,0.9907443122719399,3264,,,,,
2022-08-01 08:04:00,2022-08-03 07:59:00,0.9909076458713673,3360,,,,,
2022-08-01 00:04:00,2022-08-02 23:58:00,0.9916794367019319,3456,,,,,
